INCIDENT_MONTH,INCIDENT_YEAR,TIME,HEIGHT,SPEED
8,2013,2330,6500,210
7,2013,1100,0,
7,2013,,,
7,2013,,,
7,2013,,,
7,2013,,,
7,2013,,,
7,2013,1300,50,140
7,2013,,,
7,2013,730,10,140
7,2013,1545,0,
7,2013,,,
7,2013,1357,200,135
7,2013,810,20,140
7,2013,844,300,
7,2013,,,
7,2013,930,,
6,2013,1240,,
6,2013,,,
6,2013,,,
6,2013,,,
6,2013,,,
6,2013,,,
6,2013,1120,0,130
6,2013,955,0,
6,2013,1823,0,125
6,2013,1834,0,120
6,2013,,,
5,2013,1630,100,75
5,2013,,,
5,2013,1330,0,
5,2013,945,0,
5,2013,1115,,
5,2013,1445,1100,110
5,2013,,,
5,2013,1720,15,20
5,2013,354,2000,161
5,2013,230,,
5,2013,1130,40,80
5,2013,,,
5,2013,2125,1500,
5,2013,,,
4,2013,910,0,130
4,2013,,100,
4,2013,2300,2800,
4,2013,,,
4,2013,730,,
4,2013,2110,300,
4,2013,2115,400,72
4,2013,815,0,60
4,2013,,,
3,2013,741,20,
3,2013,716,300,75
3,2013,,,
2,2013,,,
2,2013,1300,100,
2,2013,,,
2,2013,,,
2,2013,,,
1,2013,,,
1,2013,1513,3000,180
1,2013,1717,10,
1,2013,,,
1,2013,,,
12,2012,,,
12,2012,,,
12,2012,700,100,150
12,2012,,,
12,2012,,,
11,2012,2031,0,60
11,2012,,,
11,2012,,,
11,2012,700,,
10,2012,1124,600,
10,2012,2017,300,135
10,2012,,,
10,2012,750,0,
10,2012,920,3000,
10,2012,,,
10,2012,,,
10,2012,,,
10,2012,1940,5500,240
10,2012,1830,500,
10,2012,1915,100,100
10,2012,1330,0,
10,2012,,,
10,2012,,,
10,2012,1845,0,
10,2012,1400,300,140
10,2012,1000,0,140
10,2012,,,
10,2012,,0,
10,2012,1430,1000,180
10,2012,,,
10,2012,,,
10,2012,,,
10,2012,,,
10,2012,,,
9,2012,,,
9,2012,1530,100,135
9,2012,,6,
9,2012,,,
9,2012,912,5000,140
9,2012,,,
9,2012,2030,0,
9,2012,1800,0,
9,2012,,,
9,2012,1200,0,
9,2012,1905,600,
9,2012,,,
9,2012,,,
